time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
0.0004078,264,325,3
0.0004079,264,325,3
0.000408,264,325,3
0.0004081,264,325,3
0.0004082,264,325,3
0.0004083,264,325,3
0.0004084,264,325,3
0.0004085,264,325,3
0.0004086,264,325,3
0.0004087,264,325,3
0.0004088,264,325,3
0.0004089,264,325,3
0.000409,264,325,3
0.0004091,264,325,3
0.0004092,264,325,3
0.0004093,264,325,3
0.0004094,264,325,3
0.0004095,264,325,3
0.0004096,264,325,3
0.0004097,264,325,3
0.0004098,264,325,3
0.0004099,264,325,3
0.00041,264,325,3
0.0004101,264,325,3
0.0004102,264,325,3
0.0004103,264,325,3
0.0004104,264,325,3
0.0004105,264,325,3
0.0004106,264,325,3
0.0004107,264,325,3
0.0004108,264,325,3
0.0004109,264,325,3
0.000411,264,325,3
0.0004111,264,325,3
0.0004112,264,325,3
0.0004113,264,325,3
0.0004114,264,325,3
0.0004115,264,325,3
0.0004116,264,325,3
0.0004117,264,325,3
0.0004118,264,325,3
0.0004119,264,325,3
0.000412,264,325,3
0.0004121,264,325,3
0.0004122,264,325,3
0.0004123,264,325,3
0.0004124,264,325,3
0.0004125,264,325,3
0.0004126,264,325,3
0.0004127,264,325,3
0.0004128,264,325,3
0.0004129,264,325,3
0.000413,264,325,3
0.0004131,264,325,3
0.0004132,264,325,3
0.0004133,264,325,3
0.0004134,264,325,3
0.0004135,264,325,3
0.0004136,264,325,3
0.0004137,264,325,3
0.0004138,264,325,3
0.0004139,264,325,3
0.000414,264,325,3
0.0004141,264,325,3
0.0004142,264,325,3
0.0004143,264,325,3
0.0004144,264,325,3
0.0004145,264,325,3
0.0004146,264,325,3
0.0004147,264,325,3
0.0004148,264,325,3
0.0004149,264,325,3
0.000415,264,325,3
0.0004151,264,325,3
0.0004152,264,325,3
0.0004153,264,325,3
0.0004154,264,325,3
0.0004155,264,325,3
0.0004156,264,325,3
0.0004157,264,325,3
0.0004158,264,325,3
0.0004159,264,325,3
0.000416,264,325,3
0.0004161,264,325,3
0.0004162,264,325,3
0.0004163,264,325,3
0.0004164,264,325,3
0.0004165,264,325,3
0.0004166,264,325,3
0.0004167,264,325,3
0.0004168,264,325,3
0.0004169,264,325,3
0.000417,264,325,3
0.0004171,264,325,3
0.0004172,264,325,3
0.0004173,264,325,3
0.0004174,264,325,3
0.0004175,264,325,3
0.0004176,264,325,3
0.0004177,264,325,3
0.0004178,264,325,3
0.0004179,264,325,3
0.000418,264,325,3
0.0004181,264,325,3
0.0004182,264,325,3
0.0004183,264,325,3
0.0004184,264,325,3
0.0004185,264,325,3
0.0004186,264,325,3
0.0004187,264,325,3
0.0004188,264,325,3
0.0004189,264,325,3
0.000419,264,325,3
0.0004191,264,325,3
0.0004192,264,325,3
0.0004193,264,325,3
0.0004194,264,325,3
0.0004195,264,325,3
0.0004196,264,325,3
0.0004197,264,325,3
0.0004198,264,325,3
0.0004199,264,325,3
0.00042,264,325,3
0.0004201,264,325,3
0.0004202,264,325,3
0.0004203,264,325,3
0.0004204,264,325,3
0.0004205,264,325,3
0.0004206,264,325,3
0.0004207,264,325,3
0.0004208,264,325,3
0.0004209,264,325,3
0.000421,264,325,3
0.0004211,264,325,3
0.0004212,264,325,3
0.0004213,264,325,3
0.0004214,264,325,3
0.0004215,264,325,3
0.0004216,264,325,3
0.0004217,264,325,3
0.0004218,264,325,3
0.0004219,264,325,3
0.000422,264,325,3
0.0004221,264,325,3
0.0004222,264,325,3
0.0004223,264,325,3
0.0004224,264,325,3
0.0004225,264,325,3
0.0004226,264,325,3
0.0004227,264,325,3
0.0004228,264,325,3
0.0004229,264,325,3
0.000423,264,325,3
0.0004231,264,325,3
0.0004232,264,325,3
