particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1340,0.17323307939725519,0.024,-342.73771779166361,-41.756515106046201,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17323307939725519,0.021999999999999999,0.0020000000000000018,0.13113773779415247,0.021444270396907893,345.27199386981783,neutral_100nm_low_pressure_redeposit
1341,0.17123778727666253,0.024,-734.74046830850705,-120.62813388495526,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17123778727666253,0.021999999999999999,0.0020000000000000018,0.13199169373185962,0.02203507358138072,744.57686134795438,neutral_100nm_low_pressure_redeposit
1342,0.16035391907161853,0.024,-575.81507965805417,-96.508793478697882,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16035391907161853,0.021999999999999999,0.0020000000000000018,0.14295271713564908,0.021609565573648751,583.84668636580034,neutral_100nm_low_pressure_redeposit
1343,0.15733294574024353,0.024,-322.0739721588568,-34.792512546958804,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15733294574024353,0.021999999999999999,0.0020000000000000018,0.13865601132884176,0.022413196208572524,323.94777738319851,neutral_100nm_low_pressure_redeposit
1344,0.16726294256517441,0.024,-828.24983947820147,-60.932254882836354,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16726294256517441,0.021999999999999999,0.0020000000000000018,0.12269512970110441,0.022016644008764154,830.48813133046849,neutral_100nm_low_pressure_redeposit
1345,0.17715460333801827,0.024,-412.86707531948196,24.866407662839034,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17715460333801827,0.021999999999999999,0.0020000000000000018,0.022350459763570689,0.02159905893432848,413.61523196434302,neutral_100nm_low_pressure_redeposit
1346,0.17073733781469275,0.024,-817.40249628374306,-94.080913846363686,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17073733781469275,0.021999999999999999,0.0020000000000000018,0.13813356702974425,0.021698633066947255,822.79891789006479,neutral_100nm_low_pressure_redeposit
1347,0.17175012723997604,0.024,-402.04314592624644,-57.624977970315179,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17175012723997604,0.021999999999999999,0.0020000000000000018,0.047413535369474437,0.022070428137194384,406.15185494141525,neutral_100nm_low_pressure_redeposit
1348,0.16643111631737192,0.024,-378.92150191998599,-13.93437227814926,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16643111631737192,0.021999999999999999,0.0020000000000000018,0.14414667050351257,0.021750803816572933,379.17762506256088,neutral_100nm_low_pressure_redeposit
1349,0.17229730579049737,0.024,-367.20738701742363,7.9794114571069805,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17229730579049737,0.021999999999999999,0.0020000000000000018,0.10862082657284942,0.021622867318270598,367.29407303598811,neutral_100nm_low_pressure_redeposit
